,keyword,type,date,index,整体日均值,移动日均值,pc日均值,整体同比,整体环比,移动同比,移动环比,pc同比,pc环比
53,肖战,wise,2020-04-01,124928,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
54,肖战,all,2020-04-02,143711,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
55,肖战,pc,2020-04-02,19513,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
56,肖战,wise,2020-04-02,124198,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
57,肖战,all,2020-04-03,136089,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
58,肖战,pc,2020-04-03,18761,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
59,肖战,wise,2020-04-03,117328,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
60,肖战,all,2020-04-04,144720,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
61,肖战,pc,2020-04-04,13585,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
62,肖战,wise,2020-04-04,131135,154837,132087,22749,3680%,-33%,3725%,-32%,3434%,-42%
