Station_ID_C,Year,Mon,Day,Hour,pressure,height,temperature,dewpoint,direction,speed
54161,2019,1,1,0,1001.0,238.0,-18.1,-23.1,205.0,2.05776
54161,2019,1,1,0,1000.0,247.0,-17.9,-22.9,205.0,2.05776
54161,2019,1,1,0,925.0,832.0,-17.1,-27.1,270.0,8.23104
54161,2019,1,1,0,850.0,1472.0,-14.3,-25.3,315.0,7.20216
54161,2019,1,1,0,700.0,2927.0,-21.1,-32.1,310.0,5.1444
54161,2019,1,1,0,500.0,5340.0,-36.3,-68.3,300.0,11.8321
54161,2019,1,1,0,400.0,6850.0,-46.5,-75.5,315.0,9.77436
54161,2019,1,1,0,304.0,8626.0,-55.9,-82.9,295.0,13.8899
54161,2019,1,1,0,300.0,8710.0,-55.5,-82.5,295.0,13.8899
54161,2019,1,1,0,250.0,9870.0,-55.9,-82.9,280.0,16.9765
54161,2019,1,1,0,200.0,11300.0,-53.3,-81.3,280.0,26.2364
54161,2019,1,1,0,150.0,13150.0,-53.5,-80.5,275.0,33.953
54161,2019,1,1,0,129.0,14117.0,-54.5,-81.5,275.0,34.9819
54161,2019,1,1,0,100.0,15750.0,-56.3,-83.3,275.0,31.8953
54161,2019,1,1,0,91.4,16319.0,-58.1,-84.1,275.0,32.9242
54161,2019,1,1,0,70.0,18010.0,-55.5,-82.5,270.0,30.8664
54161,2019,1,1,0,50.0,20160.0,-53.9,-80.9,275.0,23.1498
54161,2019,1,1,0,30.0,23480.0,-51.9,-79.9,265.0,10.8032
54161,2019,1,1,0,20.0,26120.0,-50.3,-78.3,215.0,3.08664
